season,team,qb_name,drafted_by_team,draft_team
2005,DET,J.Harrington,True,DET
2005,GB,B.Favre,False,ATL
2005,HOU,D.Carr,False,LV
2005,IND,P.Manning,True,IND
2005,JAX,B.Leftwich,True,JAX
2005,KC,T.Green,False,WAS
2005,LAR,M.Bulger,False,NO
2005,LAC,D.Brees,True,LAC
2005,LV,K.Collins,False,CAR
2005,MIA,G.Frerotte,False,WAS
2005,MIN,B.Johnson,True,MIN
2005,NE,T.Brady,True,NE
2005,NO,A.Brooks,False,GB
2005,NYG,E.Manning,False,LAC
2005,NYJ,B.Bollinger,True,NYJ
2005,PHI,D.McNabb,True,PHI
2005,PIT,B.Roethlisberger,True,PIT
2005,SEA,M.Hasselbeck,False,GB
2005,SF,A.Smith,True,SF
2005,TB,C.Simms,True,TB
2005,TEN,S.McNair,True,TEN
2005,WAS,M.Brunell,False,GB
2006,ARI,M.Leinart,True,ARI
2006,ATL,M.Vick,True,ATL
2006,BAL,S.McNair,False,TEN
2006,BUF,J.Losman,True,BUF
2006,CAR,J.Delhomme,False,
2006,CHI,R.Grossman,True,CHI
2006,CIN,C.Palmer,True,CIN
2006,CLE,C.Frye,False,
2006,DAL,T.Romo,False,
2006,DEN,J.Plummer,False,ARI
2006,DET,J.Kitna,False,
2006,GB,B.Favre,False,ATL
2006,HOU,D.Carr,False,LV
2006,IND,P.Manning,True,IND
2006,JAX,D.Garrard,True,JAX
2006,KC,D.Huard,False,
2006,LAR,M.Bulger,False,NO
2006,LAC,P.Rivers,False,NYG
2006,LV,A.Walter,True,LV
2006,MIA,J.Harrington,False,DET
2006,MIN,B.Johnson,True,MIN
2006,NE,T.Brady,True,NE
2006,NO,D.Brees,False,LAC
2006,NYG,E.Manning,False,LAC
2006,NYJ,C.Pennington,True,NYJ
2006,PHI,D.McNabb,True,PHI
2006,PIT,B.Roethlisberger,True,PIT
2006,SEA,M.Hasselbeck,False,GB
2006,SF,A.Smith,True,SF
2006,TB,B.Gradkowski,True,TB
2006,TEN,V.Young,True,TEN
2006,WAS,M.Brunell,False,GB
2007,ARI,K.Warner,False,
2007,ATL,J.Harrington,False,DET
2007,BAL,K.Boller,True,BAL
2007,BUF,T.Edwards,True,BUF
2007,CAR,D.Carr,False,LV
2007,CHI,R.Grossman,True,CHI
2007,CIN,C.Palmer,True,CIN
2007,CLE,D.Anderson,False,BAL
2007,DAL,T.Romo,False,
2007,DEN,J.Cutler,True,DEN
2007,DET,J.Kitna,False,
2007,GB,B.Favre,False,ATL
2007,HOU,M.Schaub,False,ATL
2007,IND,P.Manning,True,IND
2007,JAX,D.Garrard,True,JAX
2007,KC,D.Huard,False,
2007,LAR,M.Bulger,False,NO
2007,LAC,P.Rivers,False,NYG
2007,LV,J.McCown,False,ARI
2007,MIA,C.Lemon,False,
2007,MIN,T.Jackson,True,MIN
2007,NE,T.Brady,True,NE
2007,NO,D.Brees,False,LAC
2007,NYG,E.Manning,False,LAC
2007,NYJ,C.Pennington,True,NYJ
2007,PHI,D.McNabb,True,PHI
2007,PIT,B.Roethlisberger,True,PIT
2007,SEA,M.Hasselbeck,False,GB
2007,SF,A.Smith,True,SF
2007,TB,J.Garcia,False,
2007,TEN,V.Young,True,TEN
2007,WAS,J.Campbell,True,WAS
2008,ARI,K.Warner,False,
2008,ATL,M.Ryan,True,ATL
2008,BAL,J.Flacco,True,BAL
2008,BUF,T.Edwards,True,BUF
2008,CAR,J.Delhomme,False,
2008,CHI,K.Orton,True,CHI
2008,CIN,R.Fitzpatrick,False,LAR
2008,CLE,D.Anderson,False,BAL
2008,DAL,T.Romo,False,
2008,DEN,J.Cutler,True,DEN
2008,DET,D.Orlovsky,True,DET
2008,GB,A.Rodgers,True,GB
2008,HOU,M.Schaub,False,ATL
2008,IND,P.Manning,True,IND
2008,JAX,D.Garrard,True,JAX
2008,KC,T.Thigpen,False,
2008,LAR,M.Bulger,False,NO
2008,LAC,P.Rivers,False,NYG
2008,LV,J.Russell,True,LV
2008,MIA,C.Pennington,False,NYJ
2008,MIN,G.Frerotte,False,WAS
2008,NE,M.Cassel,True,NE
2008,NO,D.Brees,False,LAC
2008,NYG,E.Manning,False,LAC
2008,NYJ,B.Favre,False,ATL
2008,PHI,D.McNabb,True,PHI
2008,PIT,B.Roethlisberger,True,PIT
2008,SEA,S.Wallace,True,SEA
2008,SF,S.Hill,False,
2008,TB,J.Garcia,False,
2008,TEN,K.Collins,False,CAR
2008,WAS,J.Campbell,True,WAS
2009,ARI,K.Warner,False,
2009,ATL,M.Ryan,True,ATL
2009,BAL,J.Flacco,True,BAL
2009,BUF,R.Fitzpatrick,False,LAR
2009,CAR,J.Delhomme,False,
2009,CHI,J.Cutler,False,DEN
2009,CIN,C.Palmer,True,CIN
2009,CLE,B.Quinn,True,CLE
2009,DAL,T.Romo,False,
2009,DEN,K.Orton,False,CHI
2009,DET,M.Stafford,True,DET
2009,GB,A.Rodgers,True,GB
2009,HOU,M.Schaub,False,ATL
2009,IND,P.Manning,True,IND
2009,JAX,D.Garrard,True,JAX
2009,KC,M.Cassel,False,NE
2009,LAR,M.Bulger,False,NO
2009,LAC,P.Rivers,False,NYG
2009,LV,J.Russell,True,LV
2009,MIA,C.Henne,True,MIA
2009,MIN,B.Favre,False,ATL
2009,NE,T.Brady,True,NE
2009,NO,D.Brees,False,LAC
2009,NYG,E.Manning,False,LAC
2009,NYJ,M.Sanchez,True,NYJ
2009,PHI,D.McNabb,True,PHI
2009,PIT,B.Roethlisberger,True,PIT
2009,SEA,M.Hasselbeck,False,GB
2009,SF,A.Smith,True,SF
2009,TB,J.Freeman,True,TB
2009,TEN,V.Young,True,TEN
2009,WAS,J.Campbell,True,WAS
2010,ARI,D.Anderson,False,BAL
2010,ATL,M.Ryan,True,ATL
2010,BAL,J.Flacco,True,BAL
2010,BUF,R.Fitzpatrick,False,LAR
2010,CAR,J.Clausen,False,
2010,CHI,J.Cutler,False,DEN
2010,CIN,C.Palmer,True,CIN
2010,CLE,C.McCoy,True,CLE
2010,DAL,J.Kitna,False,
2010,DEN,K.Orton,False,CHI
2010,DET,Sh.Hill,False,
2010,GB,A.Rodgers,True,GB
2010,HOU,M.Schaub,False,ATL
2010,IND,P.Manning,True,IND
2010,JAX,D.Garrard,True,JAX
2010,KC,M.Cassel,False,NE
2010,LAR,S.Bradford,True,LAR
2010,LAC,P.Rivers,False,NYG
2010,LV,J.Campbell,False,WAS
2010,MIA,C.Henne,True,MIA
2010,MIN,B.Favre,False,ATL
2010,NE,T.Brady,True,NE
2010,NO,D.Brees,False,LAC
2010,NYG,E.Manning,False,LAC
2010,NYJ,M.Sanchez,True,NYJ
2010,PHI,M.Vick,False,ATL
2010,PIT,B.Roethlisberger,True,PIT
2010,SEA,M.Hasselbeck,False,GB
2010,SF,A.Smith,True,SF
2010,TB,J.Freeman,True,TB
2010,TEN,K.Collins,False,CAR
2010,WAS,D.McNabb,False,PHI
2011,ARI,K.Kolb,False,PHI
2011,ATL,M.Ryan,True,ATL
2011,BAL,J.Flacco,True,BAL
2011,BUF,R.Fitzpatrick,False,LAR
2011,CAR,C.Newton,True,CAR
2011,CHI,J.Cutler,False,DEN
2011,CIN,A.Dalton,True,CIN
2011,CLE,C.McCoy,True,CLE
2011,DAL,T.Romo,False,
2011,DEN,T.Tebow,True,DEN
2011,DET,M.Stafford,True,DET
2011,GB,A.Rodgers,True,GB
2011,HOU,M.Schaub,False,ATL
2011,IND,C.Painter,False,
2011,JAX,B.Gabbert,True,JAX
2011,KC,M.Cassel,False,NE
2011,LAR,S.Bradford,True,LAR
2011,LAC,P.Rivers,False,NYG
2011,LV,C.Palmer,False,CIN
2011,MIA,M.Moore,False,
2011,MIN,C.Ponder,False,
2011,NE,T.Brady,True,NE
2011,NO,D.Brees,False,LAC
2011,NYG,E.Manning,False,LAC
2011,NYJ,M.Sanchez,True,NYJ
2011,PHI,M.Vick,False,ATL
2011,PIT,B.Roethlisberger,True,PIT
2011,SEA,T.Jackson,False,MIN
2011,SF,A.Smith,True,SF
2011,TB,J.Freeman,True,TB
2011,TEN,M.Hasselbeck,False,GB
2011,WAS,R.Grossman,False,CHI
2012,ARI,J.Skelton,True,ARI
2012,ATL,M.Ryan,True,ATL
2012,BAL,J.Flacco,True,BAL
2012,BUF,R.Fitzpatrick,False,LAR
2012,CAR,C.Newton,True,CAR
2012,CHI,J.Cutler,False,DEN
2012,CIN,A.Dalton,True,CIN
2012,CLE,B.Weeden,True,CLE
2012,DAL,T.Romo,False,
2012,DEN,P.Manning,False,IND
2012,DET,M.Stafford,True,DET
2012,GB,A.Rodgers,True,GB
2012,HOU,M.Schaub,False,ATL
2012,IND,A.Luck,True,IND
2012,JAX,B.Gabbert,True,JAX
2012,KC,M.Cassel,False,NE
2012,LAR,S.Bradford,True,LAR
2012,LAC,P.Rivers,False,NYG
2012,LV,C.Palmer,False,CIN
2012,MIA,R.Tannehill,True,MIA
2012,MIN,C.Ponder,False,
2012,NE,T.Brady,True,NE
2012,NO,D.Brees,False,LAC
2012,NYG,E.Manning,False,LAC
2012,NYJ,M.Sanchez,True,NYJ
2012,PHI,M.Vick,False,ATL
2012,PIT,B.Roethlisberger,True,PIT
2012,SEA,R.Wilson,True,SEA
2012,SF,A.Smith,True,SF
2012,TB,J.Freeman,True,TB
2012,TEN,J.Locker,False,
2012,WAS,R.Griffin,True,WAS
2013,ARI,C.Palmer,False,CIN
2013,ATL,M.Ryan,True,ATL
2013,BAL,J.Flacco,True,BAL
2013,BUF,E.Manuel,True,BUF
2013,CAR,C.Newton,True,CAR
2013,CHI,J.Cutler,False,DEN
2013,CIN,A.Dalton,True,CIN
2013,CLE,B.Weeden,True,CLE
2013,DAL,T.Romo,False,
2013,DEN,P.Manning,False,IND
2013,DET,M.Stafford,True,DET
2013,GB,A.Rodgers,True,GB
2013,HOU,M.Schaub,False,ATL
2013,IND,A.Luck,True,IND
2013,JAX,C.Henne,False,MIA
2013,KC,A.Smith,False,SF
2013,LAR,K.Clemens,False,NYJ
2013,LAC,P.Rivers,False,NYG
2013,LV,T.Pryor,False,
2013,MIA,R.Tannehill,True,MIA
2013,MIN,C.Ponder,False,
2013,NE,T.Brady,True,NE
2013,NO,D.Brees,False,LAC
2013,NYG,E.Manning,False,LAC
2013,NYJ,G.Smith,True,NYJ
2013,PHI,N.Foles,True,PHI
2013,PIT,B.Roethlisberger,True,PIT
2013,SEA,R.Wilson,True,SEA
2013,SF,C.Kaepernick,False,
2013,TB,M.Glennon,True,TB
2013,TEN,R.Fitzpatrick,False,LAR
2013,WAS,R.Griffin,True,WAS
2014,ARI,D.Stanton,False,DET
2014,ATL,M.Ryan,True,ATL
2014,BAL,J.Flacco,True,BAL
2014,BUF,K.Orton,False,CHI
2014,CAR,C.Newton,True,CAR
2014,CHI,J.Cutler,False,DEN
2014,CIN,A.Dalton,True,CIN
2014,CLE,B.Hoyer,False,
2014,DAL,T.Romo,False,
2014,DEN,P.Manning,False,IND
2014,DET,M.Stafford,True,DET
2014,GB,A.Rodgers,True,GB
2014,HOU,R.Fitzpatrick,False,LAR
2014,IND,A.Luck,True,IND
2014,JAX,B.Bortles,True,JAX
2014,KC,A.Smith,False,SF
2014,LAR,A.Davis,False,
2014,LAC,P.Rivers,False,NYG
2014,LV,D.Carr,True,LV
2014,MIA,R.Tannehill,True,MIA
2014,MIN,T.Bridgewater,True,MIN
2014,NE,T.Brady,True,NE
2014,NO,D.Brees,False,LAC
2014,NYG,E.Manning,False,LAC
2014,NYJ,G.Smith,True,NYJ
2014,PHI,M.Sanchez,False,NYJ
2014,PIT,B.Roethlisberger,True,PIT
2014,SEA,R.Wilson,True,SEA
2014,SF,C.Kaepernick,False,
2014,TB,J.McCown,False,ARI
2014,TEN,C.Whitehurst,False,SEA
2014,WAS,R.Griffin,True,WAS
2015,ARI,C.Palmer,False,CIN
2015,ATL,M.Ryan,True,ATL
2015,BAL,J.Flacco,True,BAL
2015,BUF,T.Taylor,False,BAL
2015,CAR,C.Newton,True,CAR
2015,CHI,J.Cutler,False,DEN
2015,CIN,A.Dalton,True,CIN
2015,CLE,J.Manziel,True,CLE
2015,DAL,M.Cassel,False,NE
2015,DEN,P.Manning,False,IND
2015,DET,M.Stafford,True,DET
2015,GB,A.Rodgers,True,GB
2015,HOU,B.Hoyer,False,
2015,IND,M.Hasselbeck,False,GB
2015,JAX,B.Bortles,True,JAX
2015,KC,A.Smith,False,SF
2015,LAR,N.Foles,False,PHI
2015,LAC,P.Rivers,False,NYG
2015,LV,D.Carr,True,LV
2015,MIA,R.Tannehill,True,MIA
2015,MIN,T.Bridgewater,True,MIN
2015,NE,T.Brady,True,NE
2015,NO,D.Brees,False,LAC
2015,NYG,E.Manning,False,LAC
2015,NYJ,R.Fitzpatrick,False,LAR
2015,PHI,S.Bradford,False,LAR
2015,PIT,B.Roethlisberger,True,PIT
2015,SEA,R.Wilson,True,SEA
2015,SF,C.Kaepernick,False,
2015,TB,J.Winston,True,TB
2015,TEN,M.Mariota,True,TEN
2015,WAS,K.Cousins,True,WAS
2016,ARI,C.Palmer,False,CIN
2016,ATL,M.Ryan,True,ATL
2016,BAL,J.Flacco,True,BAL
2016,BUF,T.Taylor,False,BAL
2016,CAR,C.Newton,True,CAR
2016,CHI,M.Barkley,False,PHI
2016,CIN,A.Dalton,True,CIN
2016,CLE,R.Griffin,False,WAS
2016,DAL,D.Prescott,True,DAL
2016,DEN,T.Siemian,True,DEN
2016,DET,M.Stafford,True,DET
2016,GB,A.Rodgers,True,GB
2016,HOU,B.Osweiler,False,DEN
2016,IND,A.Luck,True,IND
2016,JAX,B.Bortles,True,JAX
2016,KC,A.Smith,False,SF
2016,LAR,C.Keenum,False,
2016,LAC,P.Rivers,False,NYG
2016,LV,D.Carr,True,LV
2016,MIA,R.Tannehill,True,MIA
2016,MIN,S.Bradford,False,LAR
2016,NE,T.Brady,True,NE
2016,NO,D.Brees,False,LAC
2016,NYG,E.Manning,False,LAC
2016,NYJ,R.Fitzpatrick,False,LAR
2016,PHI,C.Wentz,True,PHI
2016,PIT,B.Roethlisberger,True,PIT
2016,SEA,R.Wilson,True,SEA
2016,SF,C.Kaepernick,False,
2016,TB,J.Winston,True,TB
2016,TEN,M.Mariota,True,TEN
2016,WAS,K.Cousins,True,WAS
2017,ARI,C.Palmer,False,CIN
2017,ATL,M.Ryan,True,ATL
2017,BAL,J.Flacco,True,BAL
2017,BUF,T.Taylor,False,BAL
2017,CAR,C.Newton,True,CAR
2017,CHI,M.Trubisky,True,CHI
2017,CIN,A.Dalton,True,CIN
2017,CLE,D.Kizer,True,CLE
2017,DAL,D.Prescott,True,DAL
2017,DEN,T.Siemian,True,DEN
2017,DET,M.Stafford,True,DET
2017,GB,B.Hundley,True,GB
2017,HOU,D.Watson,True,HOU
2017,IND,J.Brissett,False,NE
2017,JAX,B.Bortles,True,JAX
2017,KC,A.Smith,False,SF
2017,LAR,J.Goff,True,LAR
2017,LAC,P.Rivers,False,NYG
2017,LV,D.Carr,True,LV
2017,MIA,J.Cutler,False,DEN
2017,MIN,C.Keenum,False,
2017,NE,T.Brady,True,NE
2017,NO,D.Brees,False,LAC
2017,NYG,E.Manning,False,LAC
2017,NYJ,J.McCown,False,ARI
2017,PHI,C.Wentz,True,PHI
2017,PIT,B.Roethlisberger,True,PIT
2017,SEA,R.Wilson,True,SEA
2017,SF,C.Beathard,True,SF
2017,TB,J.Winston,True,TB
2017,TEN,M.Mariota,True,TEN
2017,WAS,K.Cousins,True,WAS
2018,ARI,J.Rosen,True,ARI
2018,ATL,M.Ryan,True,ATL
2018,BAL,J.Flacco,True,BAL
2018,BUF,J.Allen,True,BUF
2018,CAR,C.Newton,True,CAR
2018,CHI,M.Trubisky,True,CHI
2018,CIN,A.Dalton,True,CIN
2018,CLE,B.Mayfield,True,CLE
2018,DAL,D.Prescott,True,DAL
2018,DEN,C.Keenum,False,
2018,DET,M.Stafford,True,DET
2018,GB,A.Rodgers,True,GB
2018,HOU,D.Watson,True,HOU
2018,IND,A.Luck,True,IND
2018,JAX,B.Bortles,True,JAX
2018,KC,P.Mahomes,True,KC
2018,LAR,J.Goff,True,LAR
2018,LAC,P.Rivers,False,NYG
2018,LV,D.Carr,True,LV
2018,MIA,R.Tannehill,True,MIA
2018,MIN,K.Cousins,False,WAS
2018,NE,T.Brady,True,NE
2018,NO,D.Brees,False,LAC
2018,NYG,E.Manning,False,LAC
2018,NYJ,S.Darnold,False,
2018,PHI,C.Wentz,True,PHI
2018,PIT,B.Roethlisberger,True,PIT
2018,SEA,R.Wilson,True,SEA
2018,SF,N.Mullens,False,
2018,TB,J.Winston,True,TB
2018,TEN,M.Mariota,True,TEN
2018,WAS,A.Smith,False,SF
2019,ARI,K.Murray,True,ARI
2019,ATL,M.Ryan,True,ATL
2019,BAL,L.Jackson,True,BAL
2019,BUF,J.Allen,True,BUF
2019,CAR,K.Allen,False,
2019,CHI,M.Trubisky,True,CHI
2019,CIN,A.Dalton,True,CIN
2019,CLE,B.Mayfield,True,CLE
2019,DAL,D.Prescott,True,DAL
2019,DEN,J.Flacco,False,BAL
2019,DET,M.Stafford,True,DET
2019,GB,A.Rodgers,True,GB
2019,HOU,D.Watson,True,HOU
2019,IND,J.Brissett,False,NE
2019,JAX,G.Minshew II,False,
2019,KC,P.Mahomes,True,KC
2019,LAR,J.Goff,True,LAR
2019,LAC,P.Rivers,False,NYG
2019,LV,D.Carr,True,LV
2019,MIA,R.Fitzpatrick,False,LAR
2019,MIN,K.Cousins,False,WAS
2019,NE,T.Brady,True,NE
2019,NO,D.Brees,False,LAC
2019,NYG,D.Jones,True,NYG
2019,NYJ,S.Darnold,False,
2019,PHI,C.Wentz,True,PHI
2019,PIT,M.Rudolph,True,PIT
2019,SEA,R.Wilson,True,SEA
2019,SF,J.Garoppolo,False,NE
2019,TB,J.Winston,True,TB
2019,TEN,R.Tannehill,False,MIA
2019,WAS,C.Keenum,False,
2020,ARI,K.Murray,True,ARI
2020,ATL,M.Ryan,True,ATL
2020,BAL,L.Jackson,True,BAL
2020,BUF,J.Allen,True,BUF
2020,CAR,T.Bridgewater,False,MIN
2020,CHI,M.Trubisky,True,CHI
2020,CIN,J.Burrow,True,CIN
2020,CLE,B.Mayfield,True,CLE
2020,DAL,A.Dalton,False,CIN
2020,DEN,D.Lock,True,DEN
2020,DET,M.Stafford,True,DET
2020,GB,A.Rodgers,True,GB
2020,HOU,D.Watson,True,HOU
2020,IND,P.Rivers,False,NYG
2020,JAX,G.Minshew II,False,
2020,KC,P.Mahomes,True,KC
2020,LAR,J.Goff,True,LAR
2020,LAC,J.Herbert,True,LAC
2020,LV,D.Carr,True,LV
2020,MIA,T.Tagovailoa,True,MIA
2020,MIN,K.Cousins,False,WAS
2020,NE,C.Newton,False,CAR
2020,NO,D.Brees,False,LAC
2020,NYG,D.Jones,True,NYG
2020,NYJ,S.Darnold,False,
2020,PHI,C.Wentz,True,PHI
2020,PIT,B.Roethlisberger,True,PIT
2020,SEA,R.Wilson,True,SEA
2020,SF,N.Mullens,False,
2020,TB,T.Brady,False,NE
2020,TEN,R.Tannehill,False,MIA
2020,WAS,A.Smith,False,SF
2021,ARI,K.Murray,True,ARI
2021,ATL,M.Ryan,True,ATL
2021,BAL,L.Jackson,True,BAL
2021,BUF,J.Allen,True,BUF
2021,CAR,S.Darnold,False,
2021,CHI,J.Fields,True,CHI
2021,CIN,J.Burrow,True,CIN
2021,CLE,B.Mayfield,True,CLE
2021,DAL,D.Prescott,True,DAL
2021,DEN,T.Bridgewater,False,MIN
2021,DET,J.Goff,False,LAR
2021,GB,Aa.Rodgers,True,GB
2021,HOU,D.Mills,True,HOU
2021,IND,C.Wentz,False,PHI
2021,JAX,T.Lawrence,True,JAX
2021,KC,P.Mahomes,True,KC
2021,LAR,M.Stafford,False,DET
2021,LAC,J.Herbert,True,LAC
2021,LV,D.Carr,True,LV
2021,MIA,T.Tagovailoa,True,MIA
2021,MIN,K.Cousins,False,WAS
2021,NE,M.Jones,True,NE
2021,NO,J.Winston,False,TB
2021,NYG,D.Jones,True,NYG
2021,NYJ,Z.Wilson,True,NYJ
2021,PHI,J.Hurts,True,PHI
2021,PIT,B.Roethlisberger,True,PIT
2021,SEA,R.Wilson,True,SEA
2021,SF,J.Garoppolo,False,NE
2021,TB,T.Brady,False,NE
2021,TEN,R.Tannehill,False,MIA
2021,WAS,T.Heinicke,False,
2022,ARI,K.Murray,True,ARI
2022,ATL,M.Mariota,False,TEN
2022,BAL,L.Jackson,True,BAL
2022,BUF,J.Allen,True,BUF
2022,CAR,B.Mayfield,False,CLE
2022,CHI,J.Fields,True,CHI
2022,CIN,J.Burrow,True,CIN
2022,CLE,J.Brissett,False,NE
2022,DAL,D.Prescott,True,DAL
2022,DEN,R.Wilson,False,SEA
2022,DET,J.Goff,False,LAR
2022,GB,A.Rodgers,True,GB
2022,HOU,D.Mills,True,HOU
2022,IND,M.Ryan,False,ATL
2022,JAX,T.Lawrence,True,JAX
2022,KC,P.Mahomes,True,KC
2022,LAR,M.Stafford,False,DET
2022,LAC,J.Herbert,True,LAC
2022,LV,D.Carr,True,LV
2022,MIA,T.Tagovailoa,True,MIA
2022,MIN,K.Cousins,False,WAS
2022,NE,M.Jones,True,NE
2022,NO,A.Dalton,False,CIN
2022,NYG,D.Jones,True,NYG
2022,NYJ,Z.Wilson,True,NYJ
2022,PHI,J.Hurts,True,PHI
2022,PIT,K.Pickett,True,PIT
2022,SEA,G.Smith,False,NYJ
2022,SF,J.Garoppolo,False,NE
